word,n
box,8
boyfriend,8
breakfast,8
brunch,8
card,8
carry,8
cart,8
changed,8
charged,8
cheaper,8
chive,8
chop,8
chose,8
coconut,8
comfortable,8
considered,8
constantly,8
crunchy,8
curd,8
decorated,8
der,8
describe,8
dough,8
fair,8
favourite,8
garden,8
giving,8
glad,8
grab,8
guys,8
happened,8
hidden,8
hole,8
idea,8
kenzo,8
kid,8
kinton,8
life,8
live,8
loved,8
means,8
minute,8
month,8
music,8
nicely,8
noticed,8
party,8
peking,8
personally,8
pf,8
phone,8
pineapple,8
poor,8
pop,8
previous,8
rib,8
scallops,8
selections,8
shu,8
single,8
slices,8
sort,8
sprouts,8
stomach,8
tax,8
temperature,8
terms,8
ton,8
version,8
vietnamese,8
waited,8
weekends,8
weeks,8
wonderful,8
addition,7
afternoon,7
avoid,7
bacon,7
basic,7
beginning,7
bowls,7
braised,7
burger,7
cake,7
cilantro,7
closer,7
cocktails,7
coffee,7
color,7
comfort,7
continue,7
corner,7
crowded,7
damn,7
decide,7
die,7
difficult,7
dirty,7
double,7
doubt,7
downtown,7
drive,7
east,7
excited,7
fee,7
forward,7
french,7
fruits,7
funny,7
game,7
grand,7
gross,7
gta,7
guests,7
guu,7
head,7
helpful,7
immediately,7
incredible,7
inexpensive,7
juice,7
kick,7
kinds,7
knife,7
lai,7
leaf,7
lotus,7
lovely,7
madison,7
mark,7
matter,7
meh,7
mill,7
moist,7
montreal,7
mushrooms,7
naeng,7
paste,7
pea,7
perfection,7
personal,7
pho,7
plan,7
plaza,7
portioned,7
potstickers,7
prepare,7
presentation,7
public,7
quiet,7
reading,7
reminded,7
roasted,7
round,7
satisfied,7
seat,7
sell,7
serves,7
shared,7
shopping,7
sichuan,7
sign,7
sized,7
skewers,7
soggy,7
sports,7
stands,7
stick,7
stuffed,7
surprise,7
surprisingly,7
szechuan,7
talking,7
test,7
tongue,7
tub,7
types,7
view,7
waiters,7
west,7
word,7
aka,6
americanized,6
appears,6
appetizing,6
arrive,6
asia,6
az,6
background,6
baked,6
barely,6
bathroom,6
bell,6
birthday,6
booths,6
bother,6
bought,6
breaded,6
bunch,6
carrots,6
carts,6
chilli,6
complaint,6
complaints,6
condiments,6
container,6
correct,6
crisp,6
crunch,6
cumin,6
custard,6
cuts,6
